108,Bellacoso,Residente,6169627,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S,2019-08-02,Global,2019-08-02,Global
109,i'm so tired...,Lauv,6131779,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-08-02,Global,2019-08-02,Global
110,MIDDLE CHILD,J. Cole,6049814,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-08-02,Global,2019-08-02,Global
111,comethru,Jeremy Zucker,6040634,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-08-02,Global,2019-08-02,Global
112,Old Town Road,Lil Nas X,6014526,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH,2019-08-02,Global,2019-08-02,Global
113,Instagram,Dimitri Vegas & Like Mike,5981381,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S,2019-08-02,Global,2019-08-02,Global
114,SICKO MODE,Travis Scott,5969159,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-08-02,Global,2019-08-02,Global
115,Que Mas Pues - Remix,Sech,5937052,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,2019-08-02,Global,2019-08-02,Global
116,Youngblood,5 Seconds of Summer,5900151,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-08-02,Global,2019-08-02,Global
117,Contra La Pared,Sean Paul,5874591,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1,2019-08-02,Global,2019-08-02,Global
118,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,5870095,https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg,2019-08-02,Global,2019-08-02,Global
119,Better,Khalid,5863441,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-08-02,Global,2019-08-02,Global
120,Here With Me,Marshmello,5801885,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019-08-02,Global,2019-08-02,Global
121,Perfect,Ed Sheeran,5770294,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-08-02,Global,2019-08-02,Global
122,Lucid Dreams,Juice WRLD,5766429,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-08-02,Global,2019-08-02,Global
