108,Mikrokosmos,BTS,6108368,https://open.spotify.com/track/5hnbE5BF2e8BCk9OMR1UVC,2019-04-26,Global,2019-04-26,Global
109,My Bad,Khalid,6107015,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb,2019-04-26,Global,2019-04-26,Global
110,Make It Right,BTS,6072623,https://open.spotify.com/track/6KUE0HSSudAp9AOycaF6SH,2019-04-26,Global,2019-04-26,Global
111,I Like It,Cardi B,6004427,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-04-26,Global,2019-04-26,Global
112,Perfect,Ed Sheeran,5963995,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-04-26,Global,2019-04-26,Global
113,Another One Bites The Dust - Remastered 2011,Queen,5957255,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019-04-26,Global,2019-04-26,Global
114,I Like Me Better,Lauv,5894401,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-04-26,Global,2019-04-26,Global
115,ilomilo,Billie Eilish,5891773,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD,2019-04-26,Global,2019-04-26,Global
116,Body (feat. brando),Loud Luxury,5873593,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-04-26,Global,2019-04-26,Global
117,Promises (with Sam Smith),Calvin Harris,5867561,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-04-26,Global,2019-04-26,Global
118,Taste (feat. Offset),Tyga,5832646,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-04-26,Global,2019-04-26,Global
119,Si Se Da,Myke Towers,5788526,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,2019-04-26,Global,2019-04-26,Global
120,Before I Let Go - Homecoming Live Bonus Track,Beyoncé,5781876,https://open.spotify.com/track/3FUXVbi9ugVUqJ3rPrfd2G,2019-04-26,Global,2019-04-26,Global
121,ZEZE (feat. Travis Scott & Offset),Kodak Black,5773401,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-04-26,Global,2019-04-26,Global
122,Mo Bamba,Sheck Wes,5758387,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-04-26,Global,2019-04-26,Global
123,Aullando,Wisin & Yandel,5699192,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,2019-04-26,Global,2019-04-26,Global
124,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,5648430,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,2019-04-26,Global,2019-04-26,Global
125,HOME,BTS,5635375,https://open.spotify.com/track/7lthOBXNue2IvedLRfkod8,2019-04-26,Global,2019-04-26,Global
126,God's Plan,Drake,5634170,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-04-26,Global,2019-04-26,Global
127,Psycho (feat. Ty Dolla $ign),Post Malone,5633813,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019-04-26,Global,2019-04-26,Global
128,Jocelyn Flores,XXXTENTACION,5594536,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019-04-26,Global,2019-04-26,Global
129,listen before i go,Billie Eilish,5579813,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE,2019-04-26,Global,2019-04-26,Global
130,Dionysus,BTS,5575872,https://open.spotify.com/track/6JdS5rJvJaRA7B1tcm7kxZ,2019-04-26,Global,2019-04-26,Global
131,Soltera,Lunay,5554025,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM,2019-04-26,Global,2019-04-26,Global
132,Cool,Jonas Brothers,5524248,https://open.spotify.com/track/3QmolSZqjjLksTUvZJ6pPS,2019-04-26,Global,2019-04-26,Global
133,Say My Name,David Guetta,5516453,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-04-26,Global,2019-04-26,Global
134,ocean eyes,Billie Eilish,5471389,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019-04-26,Global,2019-04-26,Global
135,One Kiss (with Dua Lipa),Calvin Harris,5427870,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019-04-26,Global,2019-04-26,Global
136,bellyache,Billie Eilish,5380783,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,2019-04-26,Global,2019-04-26,Global
137,Thunder,Imagine Dragons,5367013,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019-04-26,Global,2019-04-26,Global
138,Wake Up in the Sky,Gucci Mane,5265799,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-04-26,Global,2019-04-26,Global
139,no tears left to cry,Ariana Grande,5244892,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019-04-26,Global,2019-04-26,Global
140,Adictiva,Daddy Yankee,5242235,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-04-26,Global,2019-04-26,Global
