123,SOS (feat. Aloe Blacc),Avicii,5899215,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,2019-09-13,Global,2019-09-13,Global
124,Lucid Dreams,Juice WRLD,5872005,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-09-13,Global,2019-09-13,Global
125,Baila Conmigo (feat. Kelly Ruiz),Dayvi,5864566,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,2019-09-13,Global,2019-09-13,Global
126,Don't Call Me Up,Mabel,5855752,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-09-13,Global,2019-09-13,Global
127,Youngblood,5 Seconds of Summer,5848124,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-09-13,Global,2019-09-13,Global
128,Cuaderno,Dalex,5826012,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6,2019-09-13,Global,2019-09-13,Global
129,Pa Mí - Remix,Dalex,5769252,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,2019-09-13,Global,2019-09-13,Global
130,Babushka Boi,A$AP Rocky,5756562,https://open.spotify.com/track/643PW82aBMUa1FiWi5VQY7,2019-09-13,Global,2019-09-13,Global
131,Runaway,Sebastian Yatra,5699091,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,2019-09-13,Global,2019-09-13,Global
132,Better,Khalid,5693259,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-09-13,Global,2019-09-13,Global
133,Say You Won't Let Go,James Arthur,5661801,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-09-13,Global,2019-09-13,Global
134,Perfect,Ed Sheeran,5623727,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-09-13,Global,2019-09-13,Global
135,comethru,Jeremy Zucker,5592682,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,2019-09-13,Global,2019-09-13,Global
136,Be Alright,Dean Lewis,5590091,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,2019-09-13,Global,2019-09-13,Global
137,Ride It,Regard,5578680,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2019-09-13,Global,2019-09-13,Global
138,SAD!,XXXTENTACION,5552409,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-09-13,Global,2019-09-13,Global
139,I Like Me Better,Lauv,5549039,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-09-13,Global,2019-09-13,Global
140,Atrévete,Nicky Jam,5541662,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50,2019-09-13,Global,2019-09-13,Global
141,Only Human,Jonas Brothers,5531416,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,2019-09-13,Global,2019-09-13,Global
142,Right Back (feat. A Boogie Wit Da Hoodie),Khalid,5403162,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L,2019-09-13,Global,2019-09-13,Global
143,2002,Anne-Marie,5399983,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-09-13,Global,2019-09-13,Global
144,MIDDLE CHILD,J. Cole,5375881,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-09-13,Global,2019-09-13,Global
145,Call You Mine,The Chainsmokers,5299252,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT,2019-09-13,Global,2019-09-13,Global
