1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,34579416,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-18,Global,Week,Region
109,FEFE,6ix9ine,6182719,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK,2019-01-18,Global,2019-01-18,Global
110,I Fall Apart,Post Malone,6182176,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019-01-18,Global,2019-01-18,Global
111,I Love It (& Lil Pump),Kanye West,6178568,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2019-01-18,Global,2019-01-18,Global
112,Too Good At Goodbyes,Sam Smith,6175067,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019-01-18,Global,2019-01-18,Global
113,changes,XXXTENTACION,6172956,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,2019-01-18,Global,2019-01-18,Global
114,This Feeling,The Chainsmokers,6154904,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019-01-18,Global,2019-01-18,Global
115,breathin,Ariana Grande,6153020,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,2019-01-18,Global,2019-01-18,Global
116,The Middle,Zedd,6152217,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019-01-18,Global,2019-01-18,Global
117,Ya No Tiene Novio,Sebastian Yatra,6147043,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-18,Global,2019-01-18,Global
118,Rise,Jonas Blue,6138241,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,2019-01-18,Global,2019-01-18,Global
119,Splashin,Rich The Kid,6089051,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,2019-01-18,Global,2019-01-18,Global
120,Crushed Up,Future,5998233,https://open.spotify.com/track/7AYuSG1LoaaFVKjOxsB6Vh,2019-01-18,Global,2019-01-18,Global
121,Culpables,KAROL G,5995929,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019-01-18,Global,2019-01-18,Global
122,Say You Won't Let Go,James Arthur,5923703,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-01-18,Global,2019-01-18,Global
123,Best Part (feat. Daniel Caesar),H.E.R.,5884814,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019-01-18,Global,2019-01-18,Global
124,New Rules,Dua Lipa,5826803,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,2019-01-18,Global,2019-01-18,Global
125,Space Cadet (feat. Gunna),Metro Boomin,5820406,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz,2019-01-18,Global,2019-01-18,Global
126,Nights Like This (feat. Ty Dolla $ign),Kehlani,5817640,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,2019-01-18,Global,2019-01-18,Global
127,Electricity (with Dua Lipa),Silk City,5780559,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,2019-01-18,Global,2019-01-18,Global
128,FRIENDS,Marshmello,5779792,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2019-01-18,Global,2019-01-18,Global
129,SOLO,JENNIE,5728877,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-18,Global,2019-01-18,Global
130,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,5684187,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,2019-01-18,Global,2019-01-18,Global
131,Fuck Love (feat. Trippie Redd),XXXTENTACION,5645351,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,2019-01-18,Global,2019-01-18,Global
132,Under Pressure - Remastered,Queen,5634146,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2019-01-18,Global,2019-01-18,Global
133,Undecided,Chris Brown,5562952,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,2019-01-18,Global,2019-01-18,Global
134,Créeme,KAROL G,5543692,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-01-18,Global,2019-01-18,Global
135,Look Alive (feat. Drake),BlocBoy JB,5532858,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,2019-01-18,Global,2019-01-18,Global
136,I'm a Mess,Bebe Rexha,5520089,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,2019-01-18,Global,2019-01-18,Global
137,God is a woman,Ariana Grande,5514231,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,2019-01-18,Global,2019-01-18,Global
138,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,5506577,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,2019-01-18,Global,2019-01-18,Global
139,Te Vi,Piso 21,5487998,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-01-18,Global,2019-01-18,Global
140,XO Tour Llif3,Lil Uzi Vert,5465803,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,2019-01-18,Global,2019-01-18,Global
141,Amigos Con Derechos,Reik,5455344,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-18,Global,2019-01-18,Global
142,Trampoline,SHAED,5446427,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk,2019-01-18,Global,2019-01-18,Global
143,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,5406674,https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth,2019-01-18,Global,2019-01-18,Global
144,Congratulations,Post Malone,5354529,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2019-01-18,Global,2019-01-18,Global
145,Always Remember Us This Way,Lady Gaga,5342998,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019-01-18,Global,2019-01-18,Global
146,Woman Like Me (feat. Nicki Minaj),Little Mix,5339513,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,2019-01-18,Global,2019-01-18,Global
147,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,5336006,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-01-18,Global,2019-01-18,Global
148,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,5324470,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9,2019-01-18,Global,2019-01-18,Global
149,Noticed,Lil Mosey,5308399,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP,2019-01-18,Global,2019-01-18,Global
150,Love Lies (with Normani),Khalid,5300878,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,2019-01-18,Global,2019-01-18,Global
151,Somebody To Love - 2011 Mix,Queen,5298480,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,2019-01-18,Global,2019-01-18,Global
152,bellyache,Billie Eilish,5254961,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,2019-01-18,Global,2019-01-18,Global
153,Thunderclouds,Sia,5221994,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,2019-01-18,Global,2019-01-18,Global
154,WHEN I WAS OLDER - Music Inspired By The Film ROMA,Billie Eilish,5155090,https://open.spotify.com/track/7tGEAA1f8MydT7eVbbO9Zy,2019-01-18,Global,2019-01-18,Global
155,Let Me Down Slowly,Alec Benjamin,5129012,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-01-18,Global,2019-01-18,Global
156,Fine China,Future,5125821,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN,2019-01-18,Global,2019-01-18,Global
157,ocean eyes,Billie Eilish,5098644,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019-01-18,Global,2019-01-18,Global
158,Asesina - Remix,Brytiago,5098464,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2019-01-18,Global,2019-01-18,Global
159,Closer,The Chainsmokers,5074196,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2019-01-18,Global,2019-01-18,Global
160,Jackie Chan,Tiësto,5038907,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,2019-01-18,Global,2019-01-18,Global
161,In My Blood,Shawn Mendes,5014064,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH,2019-01-18,Global,2019-01-18,Global
162,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,4948455,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,2019-01-18,Global,2019-01-18,Global
163,Thinking out Loud,Ed Sheeran,4936097,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,2019-01-18,Global,2019-01-18,Global
164,Atrasadinha - Ao Vivo,Felipe Araújo,4919421,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb,2019-01-18,Global,2019-01-18,Global
165,PPP,Kevin Roldan,4915487,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019-01-18,Global,2019-01-18,Global
166,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,4914745,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2019-01-18,Global,2019-01-18,Global
