37,,Queen,,,,Global,2019-02-01,Global,,,,,,,,Bohemian Rhapsody - 2011 Mix,,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,,11390824.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,The Chainsmokers,,,,Global,2019-02-01,Global,,,,,,,,Hope,,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,,11347765.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Maroon 5,,,,Global,2019-02-01,Global,,,,,,,,Girls Like You (feat. Cardi B),,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,,11106398.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Anuel AA,,,,Global,2019-02-01,Global,,,,,,,,Ella Quiere Beber - Remix,,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,,10721135.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Juice WRLD,,,,Global,2019-02-01,Global,,,,,,,,Lucid Dreams,,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,,10659734.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Daddy Yankee,,,,Global,2019-02-01,Global,,,,,,,,Adictiva,,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,,10596413.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,Khalid,,,,Global,2019-02-01,Global,,,,,,,,Better,,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,,10549558.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,XXXTENTACION,,,,Global,2019-02-01,Global,,,,,,,,Moonlight,,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,,10299040.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Flipp Dinero,,,,Global,2019-02-01,Global,,,,,,,,Leave Me Alone,,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,,10196801.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Gucci Mane,,,,Global,2019-02-01,Global,,,,,,,,Wake Up in the Sky,,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,,10191897.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,XXXTENTACION,,,,Global,2019-02-01,Global,,,,,,,,Arms Around You (feat. Maluma & Swae Lee),,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,,10026086.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,21 Savage,,,,Global,2019-02-01,Global,,,,,,,,a lot,,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,,9991040.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Dynoro,,,,Global,2019-02-01,Global,,,,,,,,In My Mind,,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,,9771676.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Anuel AA,,,,Global,2019-02-01,Global,,,,,,,,Amanece,,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,,9651080.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Post Malone,,,,Global,2019-02-01,Global,,,,,,,,rockstar (feat. 21 Savage),,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,,9628244.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Billie Eilish,,,,Global,2019-02-01,Global,,,,,,,,lovely,,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,,9447711.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Kehlani,,,,Global,2019-02-01,Global,,,,,,,,Nights Like This (feat. Ty Dolla $ign),,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,,9402938.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Calvin Harris,,,,Global,2019-02-01,Global,,,,,,,,Promises (with Sam Smith),,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,,8940322.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Tyga,,,,Global,2019-02-01,Global,,,,,,,,Taste (feat. Offset),,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,,8881898.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Bad Bunny,,,,Global,2019-02-01,Global,,,,,,,,NI BIEN NI MAL,,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,,8693828.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,Logic,,,,Global,2019-02-01,Global,,,,,,,,Keanu Reeves,,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,,8683204.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,5 Seconds of Summer,,,,Global,2019-02-01,Global,,,,,,,,Youngblood,,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,,8609378.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Luis Fonsi,,,,Global,2019-02-01,Global,,,,,,,,Imposible,,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,,8431792.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Ariana Grande,,,,Global,2019-02-01,Global,,,,,,,,imagine,,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,,8397739.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Ariana Grande,,,,Global,2019-02-01,Global,,,,,,,,no tears left to cry,,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,,8385657.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,Imagine Dragons,,,,Global,2019-02-01,Global,,,,,,,,Bad Liar,,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,,8329498.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Cardi B,,,,Global,2019-02-01,Global,,,,,,,,I Like It,,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,,8159976.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Lukas Graham,,,,Global,2019-02-01,Global,,,,,,,,Love Someone,,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,,7904164.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Cardi B,,,,Global,2019-02-01,Global,,,,,,,,Money,,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,,7896133.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Bad Bunny,,,,Global,2019-02-01,Global,,,,,,,,Solo de Mi,,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,,7858706.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Piso 21,,,,Global,2019-02-01,Global,,,,,,,,Te Vi,,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,,7856953.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,XXXTENTACION,,,,Global,2019-02-01,Global,,,,,,,,Jocelyn Flores,,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,,7825637.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Alec Benjamin,,,,Global,2019-02-01,Global,,,,,,,,Let Me Down Slowly,,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,,7824196.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Drake,,,,Global,2019-02-01,Global,,,,,,,,God's Plan,,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,,7792081.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Ozuna,,,,Global,2019-02-01,Global,,,,,,,,Vaina Loca,,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,,7787684.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,Future,,,,Global,2019-02-01,Global,,,,,,,,First Off (feat. Travis Scott),,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG,,7786463.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Zara Larsson,,,,Global,2019-02-01,Global,,,,,,,,Ruin My Life,,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,,7685015.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,Imagine Dragons,,,,Global,2019-02-01,Global,,,,,,,,Natural,,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,,7589030.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,Becky G,,,,Global,2019-02-01,Global,,,,,,,,Bubalu,,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,,7583254.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,J Balvin,,,,Global,2019-02-01,Global,,,,,,,,Reggaeton,,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,,7566171.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,Anne-Marie,,,,Global,2019-02-01,Global,,,,,,,,2002,,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,,7526138.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,A Boogie Wit da Hoodie,,,,Global,2019-02-01,Global,,,,,,,,Startender (feat. Offset and Tyga),,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,,7462794.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,Bazzi,,,,Global,2019-02-01,Global,,,,,,,,Beautiful (feat. Camila Cabello),,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,,7406737.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,Daddy Yankee,,,,Global,2019-02-01,Global,,,,,,,,Con Calma,,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,,7331224.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,XXXTENTACION,,,,Global,2019-02-01,Global,,,,,,,,Sauce!,,https://open.spotify.com/track/3jq1RpStaB1YGyN3rRZGca,,7263382.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,Loud Luxury,,,,Global,2019-02-01,Global,,,,,,,,Body (feat. brando),,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,,7256070.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,Chris Brown,,,,Global,2019-02-01,Global,,,,,,,,Undecided,,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,,7223124.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,Capital Bra,,,,Global,2019-02-01,Global,,,,,,,,Prinzessa,,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP,,7213616.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,Lewis Capaldi,,,,Global,2019-02-01,Global,,,,,,,,Someone You Loved,,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,,7141230.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,Ed Sheeran,,,,Global,2019-02-01,Global,,,,,,,,Shape of You,,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,,7137479.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,David Guetta,,,,Global,2019-02-01,Global,,,,,,,,Say My Name,,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,,7126629.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,Rita Ora,,,,Global,2019-02-01,Global,,,,,,,,Let You Love Me,,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,,7096857.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,Queen,,,,Global,2019-02-01,Global,,,,,,,,Another One Bites The Dust - Remastered 2011,,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,,6978110.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,James Arthur,,,,Global,2019-02-01,Global,,,,,,,,Rewrite The Stars (with James Arthur & Anne-Marie),,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,,6901276.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,Drake,,,,Global,2019-02-01,Global,,,,,,,,In My Feelings,,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,,6869307.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,XXXTENTACION,,,,Global,2019-02-01,Global,,,,,,,,whoa (mind in awe),,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,,6835730.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,Imagine Dragons,,,,Global,2019-02-01,Global,,,,,,,,Believer,,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,,6812257.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,Calvin Harris,,,,Global,2019-02-01,Global,,,,,,,,One Kiss (with Dua Lipa),,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,,6800811.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,Post Malone,,,,Global,2019-02-01,Global,,,,,,,,Psycho (feat. Ty Dolla $ign),,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,,6790243.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,A Boogie Wit da Hoodie,,,,Global,2019-02-01,Global,,,,,,,,Swervin (feat. 6ix9ine),,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,,6741364.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,Rich The Kid,,,,Global,2019-02-01,Global,,,,,,,,Splashin,,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,,6689061.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,Queen,,,,Global,2019-02-01,Global,,,,,,,,Don't Stop Me Now - 2011 Mix,,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,,6641714.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,Juice WRLD,,,,Global,2019-02-01,Global,,,,,,,,Armed And Dangerous,,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,,6622731.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Billie Eilish,,,,Global,2019-02-01,Global,,,,,,,,idontwannabeyouanymore,,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,,6616160.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,Lauv,,,,Global,2019-02-01,Global,,,,,,,,I Like Me Better,,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,,6614143.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,6ix9ine,,,,Global,2019-02-01,Global,,,,,,,,MALA,,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,,6584940.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,Drake,,,,Global,2019-02-01,Global,,,,,,,,Nonstop,,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,,6582045.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Ed Sheeran,,,,Global,2019-02-01,Global,,,,,,,,Perfect,,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,,6577273.0,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
