,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
92,"Mocca - Remix","Lalo Ebratt",16034,https://open.spotify.com/track/1usoXi4f0BnMART4uActEA
93,"Ratas y Ratones",Boza,15603,https://open.spotify.com/track/2Ch60RcV8uYCxFWUC7D1SE
94,"Sin Pijama","Becky G",15595,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
95,"I Like It","Cardi B",15412,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
96,"PPP - Remix","Kevin Roldan",15360,https://open.spotify.com/track/3jOn1ZdPldABfKQY4JBhov
97,"Without Me",Halsey,15323,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
98,"Lo Malo",Sech,15286,https://open.spotify.com/track/4e0sAwSNPxK9Zn3vnZoZ11
99,"La Mesera",Sech,15265,https://open.spotify.com/track/3DJHqEPwg9F8DUOvc3iRAi
100,"Desde el Corazón","Bad Bunny",14954,https://open.spotify.com/track/1R2mapMAUiYqre6jcFX57g
101,"bury a friend","Billie Eilish",14837,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
102,"Pa’ Que Sude",Sech,14797,https://open.spotify.com/track/30vMTdUJCBlQCO8c9f34e7
103,Wow.,"Post Malone",14599,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
104,"Cuando Perriabas","Bad Bunny",14490,https://open.spotify.com/track/5mj8WVFcKdGA8p9HWGTSLc
105,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",14457,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
106,"Me Gusta","Natti Natasha",14271,https://open.spotify.com/track/1N3rf6ZFzb8NPYeLCmgzj7
107,Culpables,"Manuel Turizo",13756,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
108,Khalifa,"Alex Rose",13582,https://open.spotify.com/track/79P3fnch7Yxbe0uhH8usDI
109,"Bohemian Rhapsody - 2011 Mix",Queen,13536,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
110,Callao,"Wisin & Yandel",13520,https://open.spotify.com/track/3gu0fRSgFuc4FmrtIv0DnC
111,"Me Rehúso","Danny Ocean",13480,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
112,"Please Me","Cardi B",13464,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
113,"Creo en Ti",Reik,13279,https://open.spotify.com/track/0xXhgLXfEHnWJHVgRvFvdn
114,Nadie,Farruko,13200,https://open.spotify.com/track/2VRVV7cvAGPJ2EBU4FIVCz
115,"Ser Bichote","Bad Bunny",13082,https://open.spotify.com/track/4UEuIEv9Wc3wtiWUplGJ7q
116,"No Te Enamores","Paloma Mami",12978,https://open.spotify.com/track/0EJu1RBtxzldMG2peczuPv
117,"Shape of You","Ed Sheeran",12966,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
118,Brindemos,"Anuel AA",12804,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
119,"Mala Mía - Remix",Maluma,12447,https://open.spotify.com/track/6sAwJPgaSQ9Q4XGnbx1gZb
120,365,Zedd,12418,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
121,"Como Es",Akim,12388,https://open.spotify.com/track/3qq4E32TowNeYPtUqQHKsu
122,"Meneo sucio",Dubosky,12272,https://open.spotify.com/track/4g2jrgGWo6KFZvxmYrIvsI
123,"One Kiss (with Dua Lipa)","Calvin Harris",12031,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
124,Unica,Ozuna,12016,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
125,"Como Antes","Bad Bunny",11992,https://open.spotify.com/track/69ZaPBHhRMRDjRpW1ivnOU
126,"Domingo (feat. Cosculluela)",Reykon,11847,https://open.spotify.com/track/6ayCEojiJIe5d8DwXVlGU4
127,"DJ Pon La Plena De Danger",Japanese,11844,https://open.spotify.com/track/5TtG2bwHQFfsB6NrGMGB2L
128,RLNDT,"Bad Bunny",11646,https://open.spotify.com/track/6pZHZndlo57dPCYnvlYFOE
129,"La Plata (feat. Lalo Ebratt)",Juanes,11490,https://open.spotify.com/track/7Eso5mURNFprb5PmhOXDlf
130,"Ya Me Enteré",Reik,11405,https://open.spotify.com/track/0lPXFrKyl8HkdQ2E6NmNja
131,"Tenemos Que Hablar","Bad Bunny",11302,https://open.spotify.com/track/5VQpJ2AY2iMzrRZKgcvNjh
132,"Epa Wei","Danny Ocean",11247,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
133,"Robarte un Beso","Carlos Vives",11157,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
134,Booty,"C. Tangana",11065,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe
