,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
114,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",38844,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
115,"Walk Me Home",P!nk,38763,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
116,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",38375,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
117,Risiko,"Bonez MC",38139,https://open.spotify.com/track/4HIv1dRF270YMyfvuxnF0d
118,"Hardcore High",Juju,37818,https://open.spotify.com/track/6eTCxwf1n7XZLucLtFn0Fo
119,"Deine Mutter","Kool Savas",37546,https://open.spotify.com/track/4y8xXLG9O3Rbl6e1KaNRTG
120,Lelele,Azet,37517,https://open.spotify.com/track/61A9J4906Zkuqd22oasZVR
121,"Last Hurrah","Bebe Rexha",37364,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
122,Bentley,"Kay One",37234,https://open.spotify.com/track/44g9PSXJctIwkIoyoYIRRV
123,2002,Anne-Marie,37206,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
124,"Ala bin","Seiler und Speer",37155,https://open.spotify.com/track/6hSbkhKnY0INN355GvKmgO
125,"listen before i go","Billie Eilish",36929,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
126,"My Bad",Khalid,36734,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
127,"Later Bitches","The Prince Karma",36608,https://open.spotify.com/track/2MhnrAz9dreS8zLzEuDflG
128,"Never Go Back","Dennis Lloyd",36483,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
129,Primo,"RAF Camora",36479,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
130,Mercedes,Eno,36357,https://open.spotify.com/track/3FHppoOv1gMexzC9XyMCFz
131,"Bohemian Rhapsody - 2011 Mix",Queen,36343,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
132,Chlorine,"Twenty One Pilots",36085,https://open.spotify.com/track/23OXdR7YuUBVWh5hSnYJau
133,Kamehameha,Azet,35871,https://open.spotify.com/track/0qzX2dAs1otoAABKNHUwRb
134,Copacabana,"Leon Machère",35500,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH
135,"Under Water - Club Edit",AVEC,35356,https://open.spotify.com/track/3Bf7jl5Xr38QhPKyDXeQAz
136,UFF,Veysel,35289,https://open.spotify.com/track/3Rq0ElVcisouAl71RtnTUS
137,8,"Billie Eilish",35169,https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r
138,"rockstar (feat. 21 Savage)","Post Malone",34315,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
139,Rise,"Jonas Blue",34214,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
140,"Was du Liebe nennst",Bausa,33755,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
141,"Kampfgeist 4","Kontra K",33637,https://open.spotify.com/track/3TqjrBoN0waDh5nFINL2R8
142,Feuer,"Capital Bra",33424,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV
143,Meer,Luciano,33416,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd
144,FOYAA!,Kollegah,33380,https://open.spotify.com/track/2NPxtQwkQzswlMUuCe7eKO
145,"One Night Stand","Capital Bra",33373,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
146,"Always Remember Us This Way","Lady Gaga",33164,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
147,"On My Way","Alan Walker",33163,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
148,"Saturday Nights",Khalid,33032,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
149,"HaifischNikez Allstars",LX,33023,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP
150,Youngblood,"5 Seconds of Summer",32985,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
151,"Don't Stop Me Now - 2011 Mix",Queen,32953,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
152,"So Close",NOTD,32932,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
153,"Better When You're Gone","David Guetta",32771,https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
154,"Let You Love Me","Rita Ora",32710,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
155,"Ruin My Life","Zara Larsson",32614,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
156,Cool,"Jonas Brothers",32602,https://open.spotify.com/track/3QmolSZqjjLksTUvZJ6pPS
157,Warnung,"Kontra K",32536,https://open.spotify.com/track/3OgD9c7c6GhEWUK660Ezbr
158,Trance,Qzeng,32169,https://open.spotify.com/track/5eA0fLfQRw9WuX34ZRPvAT
159,Selfie,Kianush,32055,https://open.spotify.com/track/6Mh8pbqMleIxio197Ps5sp
160,Paradise,Bazzi,31938,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
161,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",31344,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
162,Nevermind,"Dennis Lloyd",31312,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
163,Zoey,Nimo,30999,https://open.spotify.com/track/0Kd1QMAhIFhqltE5eQkVzX
164,"BONNIE & CLYDE",Loredana,30831,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic
165,"Going Bad (feat. Drake)","Meek Mill",30773,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
166,"MIDDLE CHILD","J. Cole",30615,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
167,"Tamam Tamam","Summer Cem",30473,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
168,"Who Do You Love","The Chainsmokers",30470,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
169,"thank u, next","Ariana Grande",30336,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
170,"Happy Now",Kygo,30222,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
171,"5 Minuten (feat. Cro, AnnenMayKantereit & Trettmann)",KitschKrieg,30195,https://open.spotify.com/track/1rciHe0jRJnF3J6CuAwOH0
172,"Baui Coupé",Diplo,30125,https://open.spotify.com/track/4J2c8Mk8stfWPzt1u0G90W
173,#niemalsantäuschen,"Farid Bang",29982,https://open.spotify.com/track/4mI0sGmXHviRF9QbY4bfq7
174,Better,Khalid,29945,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
175,"Like I Love You (feat. The NGHBRS)","Lost Frequencies",29489,https://open.spotify.com/track/30K9xVNSog0DVr5ey5yVoY
176,"Palmen aus Plastik","Bonez MC",29252,https://open.spotify.com/track/6wHRm1KR8pzVDPdmR6Qovj
177,"Promises (with Sam Smith)","Calvin Harris",29247,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
178,"Pure Water (with Migos)",Mustard,29166,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
179,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,29120,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2
180,"G Klasse (feat. Lil Lano & M.O.030)","King Khalil",28804,https://open.spotify.com/track/6Xt6kg1kGrZCi4gJhijxeT
181,"Lambo Diablo GT (feat. Nimo & Juju) - Remix",Capo,28623,https://open.spotify.com/track/3TMW1GOB1lsmvf8er2dE8g
182,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",28583,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
183,"Gib ihn",MERO,28475,https://open.spotify.com/track/43o47EpZOuCV6YYUNcxxJl
184,SAD!,XXXTENTACION,28398,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
185,Polaroid,"Jonas Blue",28372,https://open.spotify.com/track/6XqvFyJGdUD5IWee02ARKU
186,Mill'n,MERO,27976,https://open.spotify.com/track/0LxEGZDLJWGx9x0wQUhyof
187,"Solo (feat. Demi Lovato)","Clean Bandit",27860,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
188,"R.I.P. (feat. Rita Ora & Anitta)","Sofia Reyes",27773,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn
189,"Shem Shem & Sex",Nimo,27681,https://open.spotify.com/track/6sOEMx5vECgoCAyIU9eb7b
