,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
108,"Taste (feat. Offset)",Tyga,47326,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
109,"Too Good At Goodbyes","Sam Smith",47215,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
110,"I Like It","Cardi B",46855,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
111,"The Middle",Zedd,46795,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
112,"Calma - Remix","Pedro Capó",46676,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
113,"Amigo (feat. Mula B)","Soufiane Eddyani",46552,https://open.spotify.com/track/567sFGii0JsIoFlHkO6h8Z
114,"Losing It",FISHER,46253,https://open.spotify.com/track/6ho0GyrWZN3mhi9zVRW7xi
115,Scars,Snelle,46172,https://open.spotify.com/track/1cFeuf25M6gvDwG9xGitbc
116,"Don't Call Me Up",Mabel,46129,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
117,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",46122,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
118,"Leave Me Alone","Flipp Dinero",46119,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
119,Undecided,"Chris Brown",45865,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
120,idontwannabeyouanymore,"Billie Eilish",45834,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
121,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",45814,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
122,"7 Minutes","Dean Lewis",45792,https://open.spotify.com/track/2BkyYZmU4JuWW2sYi9EzpC
123,Copines,"Aya Nakamura",45660,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
124,"I Like Me Better",Lauv,45626,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
125,"Rêves bizarres (feat. Damso)",Orelsan,45590,https://open.spotify.com/track/7lhuM9WUqdThw72dCBRmQW
