,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
99,"Mi Culpa","Loco Escrito",53864,https://open.spotify.com/track/1z5kvdG3vjMUpJsNt76JVf
100,"Mo Bamba","Sheck Wes",53712,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
101,"Walk Me Home",P!nk,53468,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
102,079,"Lo & Leduc",53191,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9
103,SAD!,XXXTENTACION,53138,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
104,"rockstar (feat. 21 Savage)","Post Malone",52995,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
105,"Red Room",Offset,52889,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq
106,Kokain,"Bonez MC",52538,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf
107,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",52403,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
108,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,52366,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
109,"Never Go Back","Dennis Lloyd",51801,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
110,"Murder On My Mind","YNW Melly",51646,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
111,"So Close",NOTD,51492,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
112,"Creep On Me",GASHI,51235,https://open.spotify.com/track/1MUL6DO2gVimj2YrVedubd
113,"No Sleep (feat. Bonn)","Martin Garrix",51116,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
114,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,50951,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2
115,"11 Minutes (with Halsey feat. Travis Barker)",YUNGBLUD,50931,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4
116,"Run Run","RAY BLK",50447,https://open.spotify.com/track/12v5HN5yoBXWV7QpXLFjAM
117,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",49972,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
118,"No Stylist (feat. Drake)","French Montana",49310,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
119,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",49255,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
120,"I Like It","Cardi B",49169,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
121,Facetime,Dardan,49139,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2
122,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",48586,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
123,"Trop beau",Lomepal,48528,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM
124,Meer,Luciano,48128,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd
125,"Solo (feat. Demi Lovato)","Clean Bandit",48082,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
126,"5 Minuten (feat. Cro, AnnenMayKantereit & Trettmann)",KitschKrieg,47993,https://open.spotify.com/track/1rciHe0jRJnF3J6CuAwOH0
127,"Shape of You","Ed Sheeran",47764,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
128,Feuer,"Capital Bra",47749,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV
129,Neymar,"Capital Bra",47642,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
130,365,Zedd,47575,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
131,"Taste (feat. Offset)",Tyga,47240,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
132,Polaroid,"Jonas Blue",47004,https://open.spotify.com/track/6XqvFyJGdUD5IWee02ARKU
133,Better,Khalid,46966,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
134,Hasso,"KC Rebell",46017,https://open.spotify.com/track/3TN6azWcvHM18VxhYVB1AG
135,Shotgun,"George Ezra",45866,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
136,Lick,Offset,45485,https://open.spotify.com/track/4W9XGjEUVG9junR70FOLii
137,"HaifischNikez Allstars",LX,45218,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP
138,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",45207,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
139,idontwannabeyouanymore,"Billie Eilish",45087,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
140,"That's Mine (feat. Ledri Vula)",GASHI,44900,https://open.spotify.com/track/0L9HbWCQCbuo3OhNjffrxn
141,"Another One Bites The Dust - Remastered 2011",Queen,44879,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
142,MALA,6ix9ine,44836,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
143,Allein,"Capital Bra",44686,https://open.spotify.com/track/4tW7mc0pab35DznfVlr3px
144,"HS (feat. SCH)",Hamza,44624,https://open.spotify.com/track/3Orh7rBLR3SbekWQQs3N1L
145,"bad idea","Ariana Grande",44473,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
146,"Remind Me to Forget",Kygo,44064,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
147,Zoey,Nimo,43996,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc
148,"Like I Love You (feat. The NGHBRS)","Lost Frequencies",43793,https://open.spotify.com/track/30K9xVNSog0DVr5ey5yVoY
149,"Think About You",Kygo,43719,https://open.spotify.com/track/3Kuu5vASpXK8oRsxOvau6P
150,Risiko,"Bonez MC",43339,https://open.spotify.com/track/4HIv1dRF270YMyfvuxnF0d
151,Adictiva,"Daddy Yankee",43301,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
152,"High On Life (feat. Bonn)","Martin Garrix",42932,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
153,Perfect,"Ed Sheeran",42884,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
154,"Sale mood",Bramsito,42866,https://open.spotify.com/track/7oxSh7uiB74lWGVIv2Qtlm
155,"Lucid Dreams","Juice WRLD",42847,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
156,"Ruin My Life","Zara Larsson",42793,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
157,"Diamond Heart","Alan Walker",42700,https://open.spotify.com/track/0nrWZWkJM62ftQJSI8fDc0
158,"Shem Shem & Sex",Nimo,42633,https://open.spotify.com/track/6ujq8IjOGkbJrp09qarW1E
159,bellyache,"Billie Eilish",42474,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
160,Flames,"David Guetta",42267,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
