,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,"How To Fly","Sticky Fingers",44998,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS
145,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",44851,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
146,"Walk Me Home",P!nk,44822,https://open.spotify.com/track/6jfEZdUJ2Yla6h7gTJgKuo
147,"Young Dumb & Broke",Khalid,44715,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
148,"Way To Break My Heart (feat. Skrillex)","Ed Sheeran",44679,https://open.spotify.com/track/5d1rmWWF1725tnYjq6rMDB
149,Closer,SIX60,44505,https://open.spotify.com/track/1kpSmoMmNm3pcCU7MTTpoJ
150,"CIVIL WAR - Bonus",Russ,44415,https://open.spotify.com/track/5tmu5pAFHkUSl8Fo8ncyA4
151,"BROWN SKIN GIRL","Blue Ivy",44393,https://open.spotify.com/track/0B3FovCVaGKS5w1FTidEUP
152,"Too Good At Goodbyes","Sam Smith",44349,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
153,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",44028,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
154,"Party In The U.S.A.","Miley Cyrus",43553,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
155,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",43527,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
156,"Can You Feel the Love Tonight",Beyoncé,43472,https://open.spotify.com/track/1zSKtBze2IReYU44W0lDzd
157,"gone girl","iann dior",43432,https://open.spotify.com/track/6G0FACzGN80Dj2v4ass5rq
158,"Dancing On My Own","Calum Scott",43298,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
159,"Here With Me",Marshmello,43199,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
160,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",43060,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
161,"Put It All on Me (feat. Ella Mai)","Ed Sheeran",43039,https://open.spotify.com/track/5T03itPFOPGGkvVPvPiyla
162,Special,SIX60,42848,https://open.spotify.com/track/0IM7W9Uj3tDepqO2Ey042W
