,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
125,Fire,"Peking Duk",54856,https://open.spotify.com/track/3BZkEOJwKUYRlkLWZB1izC
126,"Jackie Chan",Tiësto,54852,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
127,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",54742,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
128,"Thinking out Loud","Ed Sheeran",54551,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
129,Perfect,"Ed Sheeran",54335,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
130,"Faucet Failure","Ski Mask The Slump God",54095,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
131,"Under Pressure - Remastered",Queen,53895,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
132,"Leave Me Lonely","Hilltop Hoods",53657,https://open.spotify.com/track/03Pg5wDlaYAZlTNLeAfl2r
133,Closer,"The Chainsmokers",52986,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
134,"Don't Stop Me Now - 2011 Mix",Queen,52923,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
135,"Hotel California - 2013 Remaster",Eagles,52646,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
136,"Don't Stop Believin'",Journey,52634,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
137,"One Kiss (with Dua Lipa)","Calvin Harris",52551,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
138,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",51917,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
139,"Happy Now",Zedd,50897,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
140,HUMBLE.,"Kendrick Lamar",50818,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
141,Believer,"Imagine Dragons",50693,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
142,"God is a woman","Ariana Grande",49993,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
143,"Sweet Home Alabama","Lynyrd Skynyrd",49892,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
144,Rivers,SIX60,49576,https://open.spotify.com/track/25qfmrJIuw6TAvXoZ0phzb
145,"Born To Be Yours",Kygo,49378,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc
146,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",49338,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
147,"Butterfly Doors","Lil Pump",48993,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3
148,"Red Red Wine",UB40,48417,https://open.spotify.com/track/1vYew137WJ69SFp9oez3xm
149,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",48356,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
150,"Castle on the Hill","Ed Sheeran",48269,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
151,OTW,Khalid,48252,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
152,"REEL IT IN",Aminé,48129,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
153,"Only To Be",SIX60,48042,https://open.spotify.com/track/1yaFHifoHlN5MEtL5YEgA4
154,"Brown Eyed Girl","Van Morrison",47988,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
155,"Look Alive (feat. Drake)","BlocBoy JB",47572,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
156,"Losing It",FISHER,47422,https://open.spotify.com/track/6ho0GyrWZN3mhi9zVRW7xi
157,"Suncity (feat. Empress Of)",Khalid,47336,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
158,"I Found You (with Calvin Harris)","benny blanco",47335,https://open.spotify.com/track/1kQhi22kyluRCnIPAXtxEZ
159,YOSEMITE,"Travis Scott",47330,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
160,FEFE,6ix9ine,47073,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
161,"I'm Yours","Jason Mraz",46646,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
162,"MIA (feat. Drake)","Bad Bunny",46605,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
163,monster,"21 Savage",46496,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
164,"Happy Now",Kygo,46453,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
165,IDGAF,"Dua Lipa",46448,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
166,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",46402,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
167,"Summer Of '69","Bryan Adams",46378,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
168,"New Rules","Dua Lipa",46290,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
169,changes,XXXTENTACION,46207,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
170,Killshot,Eminem,46098,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
171,"What Lovers Do","Maroon 5",46083,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g
172,1950,"King Princess",46052,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
173,Silence,Marshmello,46044,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
174,"Armed And Dangerous","Juice WRLD",46034,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
175,"All The Stars (with SZA)","Kendrick Lamar",45900,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
176,"Feel It Still","Portugal. The Man",45810,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
